Date,Aluminum $/t,Brent Oil $/bbl,Copper $/t,Gold $/oz,Nat Gas $/MMBtu,Nickel $/t,Platinum $/oz,Silver $/oz,Thermal Coal $/t,WTI Oil $/bbl,Zinc LME Cash $/t
2019-01-31,1845.8863636363637,59.272608695652174,5932.022727272727,1291.7454545454545,3.1003333333333334,11523.09090909091,808.5226086956521,15.59022727272727,99.51136363636364,51.524285714285725,2569.7045454545455
2019-02-28,1859.55,64.13399999999999,6278.2,1320.065,2.682578947368421,12685.225,820.1389999999999,15.806250000000002,94.82749999999999,54.9542105263158,2707.1875
2019-03-31,1872.2380952380952,66.41095238095238,6451.023809523809,1300.897619047619,2.804666666666667,13026.27380952381,841.3485714285714,15.320714285714283,92.1857142857143,58.153809523809535,2850.595238095238
2019-04-30,1848.975,71.19681818181816,6445.1,1286.445,2.6030952380952384,12772.7875,889.3136363636364,15.042000000000002,85.92380952380952,63.87000000000001,2932.65
2019-05-31,1775.3333333333333,70.52652173913043,6028.309523809524,1283.9476190476191,2.592409090909091,12016.309523809523,833.023913043478,14.62547619047619,83.3108695652174,60.83818181818182,2742.809523809524
2019-06-30,1754.075,63.296000000000014,5868.425,1359.0425,2.3303499999999997,11943.9375,811.4989999999999,14.995750000000001,71.35250000000002,54.677,2601.225
2019-07-31,1792.8260869565217,64.0,5939.847826086957,1412.978260869565,2.3016956521739123,13546.304347826086,844.1447826086958,15.745217391304347,74.20652173913045,57.524761904761895,2446.5108695652175
2019-08-31,1740.9285714285713,59.24727272727273,5707.976190476191,1498.7976190476193,2.1742727272727267,15748.642857142857,863.3054545454546,17.137857142857143,67.24090909090908,54.83909090909091,2273.0119047619046
2019-09-30,1749.595238095238,62.32999999999999,5745.476190476191,1511.314285714286,2.509428571428571,17656.880952380954,942.5528571428572,18.169999999999998,68.18095238095239,56.94500000000001,2331.559523809524
2019-10-31,1718.8260869565217,59.37,5742.891304347826,1494.8,2.339260869565217,17046.217391304348,899.025652173913,17.624565217391304,68.62608695652172,53.97913043478261,2451.6521739130435
2019-11-30,1772.3095238095239,62.74428571428571,5859.690476190476,1470.0166666666669,2.6241904761904755,15171.809523809523,902.62,17.179523809523808,68.67619047619048,57.060500000000005,2425.4761904761904
2019-12-31,1770.4,65.85454545454546,6062.425,1476.0444444444445,2.288238095238095,13829.425,927.7627272727276,17.11425,67.63095238095238,59.80047619047619,2272.5375
2020-01-31,1771.7272727272727,63.60217391304347,6049.204545454545,1560.6727272727273,2.0258636363636366,13506.863636363636,987.5208695652174,17.965,70.05909090909091,57.516190476190474,2354.306818181818
2020-02-29,1685.85,55.003499999999995,5686.45,1597.1025,1.8482999999999996,12715.55,959.3819999999998,17.921999999999993,68.34500000000001,50.525263157894734,2113.2375
2020-03-31,1611.1363636363637,32.981818181818184,5178.681818181818,1591.9272727272728,1.7311818181818177,11846.227272727272,760.049090909091,14.918181818181818,66.63181818181819,29.87727272727273,1903.625
2020-04-30,1457.15,23.33727272727273,5048.25,1682.9299999999998,1.7593333333333332,11804.0095,758.2254545454545,15.0345,56.88333333333331,16.52380952380952,1903.3669999999997
2020-05-31,1459.7894736842106,31.024761904761903,5233.815789473684,1716.3815789473683,1.8050952380952385,12179.605263157895,802.4028571428571,16.23236842105263,54.62619047619047,28.557000000000006,1975.3226315789473
2020-06-30,1564.0227272727273,39.92727272727273,5742.386363636364,1732.2181818181816,1.7008636363636365,12727.152272727271,824.7381818181817,17.71977272727273,53.786363636363646,38.30227272727273,2025.7145454545455
2020-07-31,1639.3478260869565,42.813478260869566,6353.760869565217,1843.313043478261,1.7633913043478258,13402.303913043477,866.8043478260871,20.405000000000005,54.0195652173913,40.75454545454545,2177.195652173913
2020-08-31,1733.9,44.25714285714285,6496.7,1968.5649999999994,2.3434761904761907,14537.747,943.8080952380955,26.892500000000002,51.31666666666667,42.364285714285714,2410.047
2020-09-30,1745.340909090909,41.085454545454546,6712.409090909091,1922.2136363636362,2.2905,14857.488636363636,908.4840909090909,25.886136363636368,55.252272727272725,39.60190476190477,2442.4590909090907
2020-10-31,1802.8181818181818,40.47,6702.772727272727,1900.2749999999999,2.836227272727273,15239.363636363636,874.8295454545455,24.246136363636364,57.80227272727272,39.529545454545456,2440.6522727272727
2020-11-30,1932.1190476190477,43.22428571428571,7063.428571428572,1863.4928571428575,2.87195,15807.733333333334,917.7614285714285,24.043333333333333,64.44047619047619,41.09578947368421,2671.6047619047617
2020-12-31,2017.904761904762,49.86565217391305,7755.238095238095,1855.9552631578947,2.5842727272727273,16823.038571428573,1031.1134782608697,24.887380952380948,80.63409090909092,47.049090909090914,2779.8514285714286
